Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
75	:	1687984476.166	     0.811	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_75 magma -b label:=2.2.5.1-176.1-1.1-gl-0 scripts/generate_inv.m
76	:	1687984476.168	     0.832	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_76 magma -b label:=2.2.5.1-176.2-1.1-gl-0 scripts/generate_inv.m
77	:	1687984476.170	     0.740	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_77 magma -b label:=2.2.5.1-179.1-1.1-gl-0 scripts/generate_inv.m
78	:	1687984476.172	     0.802	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_78 magma -b label:=2.2.5.1-179.2-1.1-gl-0 scripts/generate_inv.m
79	:	1687984476.175	     0.811	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_79 magma -b label:=2.2.5.1-180.1-1.1-gl-0 scripts/generate_inv.m
80	:	1687984476.177	     0.757	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_80 magma -b label:=2.2.5.1-181.1-1.1-gl-0 scripts/generate_inv.m
81	:	1687984476.792	     0.998	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_81 magma -b label:=2.2.5.1-181.2-1.1-gl-0 scripts/generate_inv.m
82	:	1687984476.850	     0.956	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_82 magma -b label:=2.2.5.1-191.1-1.1-gl-0 scripts/generate_inv.m
83	:	1687984476.860	     0.918	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_83 magma -b label:=2.2.5.1-191.2-1.1-gl-0 scripts/generate_inv.m
84	:	1687984476.864	     0.963	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_84 magma -b label:=2.2.5.1-196.1-1.1-gl-0 scripts/generate_inv.m
85	:	1687984476.866	     0.909	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_85 magma -b label:=2.2.5.1-199.1-1.1-gl-0 scripts/generate_inv.m
86	:	1687984476.868	     0.915	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_86 magma -b label:=2.2.5.1-199.2-1.1-gl-0 scripts/generate_inv.m
87	:	1687984476.886	     1.223	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_87 magma -b label:=2.2.5.1-205.1-1.1-gl-0 scripts/generate_inv.m
88	:	1687984476.889	     0.933	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_88 magma -b label:=2.2.5.1-205.2-1.1-gl-0 scripts/generate_inv.m
89	:	1687984476.891	     0.948	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_89 magma -b label:=2.2.5.1-209.1-1.1-gl-0 scripts/generate_inv.m
90	:	1687984476.894	     1.016	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_90 magma -b label:=2.2.5.1-209.2-1.1-gl-0 scripts/generate_inv.m
91	:	1687984476.897	     1.238	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_91 magma -b label:=2.2.5.1-209.3-1.1-gl-0 scripts/generate_inv.m
92	:	1687984476.899	     0.903	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_92 magma -b label:=2.2.5.1-209.4-1.1-gl-0 scripts/generate_inv.m
93	:	1687984476.901	     1.213	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_93 magma -b label:=2.2.5.1-211.1-1.1-gl-0 scripts/generate_inv.m
94	:	1687984476.903	     1.010	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_94 magma -b label:=2.2.5.1-211.2-1.1-gl-0 scripts/generate_inv.m
95	:	1687984476.906	     1.240	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_95 magma -b label:=2.2.5.1-220.1-1.1-gl-0 scripts/generate_inv.m
96	:	1687984476.908	     1.265	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_96 magma -b label:=2.2.5.1-220.2-1.1-gl-0 scripts/generate_inv.m
97	:	1687984476.909	     0.923	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_97 magma -b label:=2.2.5.1-225.1-1.1-gl-0 scripts/generate_inv.m
98	:	1687984476.912	     0.922	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_98 magma -b label:=2.2.5.1-229.1-1.1-gl-0 scripts/generate_inv.m
99	:	1687984476.916	     0.880	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_99 magma -b label:=2.2.5.1-229.2-1.1-gl-0 scripts/generate_inv.m
100	:	1687984476.919	     0.961	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_100 magma -b label:=2.2.5.1-236.1-1.1-gl-0 scripts/generate_inv.m
101	:	1687984476.922	     1.219	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_101 magma -b label:=2.2.5.1-236.2-1.1-gl-0 scripts/generate_inv.m
102	:	1687984476.924	     0.935	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_102 magma -b label:=2.2.5.1-239.1-1.1-gl-0 scripts/generate_inv.m
