Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
42	:	1687983326.673	     0.748	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_42 magma -b label:=2.2.5.1-99.1-1.1-gl-0 scripts/generate_kposs.m
43	:	1687983326.675	     0.932	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_43 magma -b label:=2.2.5.1-99.2-1.1-gl-0 scripts/generate_kposs.m
44	:	1687983326.677	     1.134	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_44 magma -b label:=2.2.5.1-100.1-1.1-gl-0 scripts/generate_kposs.m
45	:	1687983326.678	     0.888	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_45 magma -b label:=2.2.5.1-101.1-1.1-gl-0 scripts/generate_kposs.m
46	:	1687983326.680	     1.082	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_46 magma -b label:=2.2.5.1-101.2-1.1-gl-0 scripts/generate_kposs.m
47	:	1687983326.682	     0.893	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_47 magma -b label:=2.2.5.1-109.1-1.1-gl-0 scripts/generate_kposs.m
48	:	1687983326.684	     1.069	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_48 magma -b label:=2.2.5.1-109.2-1.1-gl-0 scripts/generate_kposs.m
49	:	1687983326.685	     0.919	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_49 magma -b label:=2.2.5.1-116.1-1.1-gl-0 scripts/generate_kposs.m
50	:	1687983326.687	     0.994	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_50 magma -b label:=2.2.5.1-116.2-1.1-gl-0 scripts/generate_kposs.m
51	:	1687983326.689	     0.880	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_51 magma -b label:=2.2.5.1-121.1-1.1-gl-0 scripts/generate_kposs.m
