Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
148	:	1674274759.412	     0.161	0	0	0	0	magma -b cut:=5000 D:=148 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
150	:	1674274759.416	     0.159	0	0	0	0	magma -b cut:=5000 D:=150 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
151	:	1674274759.420	     0.156	0	0	0	0	magma -b cut:=5000 D:=151 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
153	:	1674274759.424	     0.154	0	0	0	0	magma -b cut:=5000 D:=153 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
154	:	1674274759.428	     0.153	0	0	0	0	magma -b cut:=5000 D:=154 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
155	:	1674274759.431	     0.151	0	0	0	0	magma -b cut:=5000 D:=155 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
158	:	1674274759.437	     0.148	0	0	0	0	magma -b cut:=5000 D:=158 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
159	:	1674274759.438	     0.148	0	0	0	0	magma -b cut:=5000 D:=159 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
160	:	1674274759.444	     0.144	0	0	0	0	magma -b cut:=5000 D:=160 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
162	:	1674274759.452	     0.140	0	0	0	0	magma -b cut:=5000 D:=162 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
163	:	1674274759.455	     0.139	0	0	0	0	magma -b cut:=5000 D:=163 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
164	:	1674274759.458	     0.138	0	0	0	0	magma -b cut:=5000 D:=164 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
166	:	1674274759.468	     0.130	0	0	0	0	magma -b cut:=5000 D:=166 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
167	:	1674274759.471	     0.130	0	0	0	0	magma -b cut:=5000 D:=167 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
169	:	1674274759.475	     0.128	0	0	0	0	magma -b cut:=5000 D:=169 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
170	:	1674274759.480	     0.125	0	0	0	0	magma -b cut:=5000 D:=170 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
171	:	1674274759.481	     0.126	0	0	0	0	magma -b cut:=5000 D:=171 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
174	:	1674274759.487	     0.122	0	0	0	0	magma -b cut:=5000 D:=174 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
175	:	1674274759.489	     0.123	0	0	0	0	magma -b cut:=5000 D:=175 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
176	:	1674274759.490	     0.127	0	0	0	0	magma -b cut:=5000 D:=176 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
178	:	1674274759.494	     0.125	0	0	0	0	magma -b cut:=5000 D:=178 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
179	:	1674274759.506	     0.118	0	0	0	0	magma -b cut:=5000 D:=179 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
