Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
95	:	1674273536.906	     0.315	0	0	0	0	magma -b cut:=5000 D:=95 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
96	:	1674273536.908	     0.315	0	0	0	0	magma -b cut:=5000 D:=96 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
98	:	1674273536.913	     0.311	0	0	0	0	magma -b cut:=5000 D:=98 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
99	:	1674273536.915	     0.312	0	0	0	0	magma -b cut:=5000 D:=99 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
100	:	1674273536.920	     0.310	0	0	0	0	magma -b cut:=5000 D:=100 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
102	:	1674273536.952	     0.282	0	0	0	0	magma -b cut:=5000 D:=102 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
103	:	1674273536.955	     0.282	0	0	0	0	magma -b cut:=5000 D:=103 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
106	:	1674273536.980	     0.262	0	0	0	0	magma -b cut:=5000 D:=106 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
107	:	1674273536.984	     0.260	0	0	0	0	magma -b cut:=5000 D:=107 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
108	:	1674273536.992	     0.255	0	0	0	0	magma -b cut:=5000 D:=108 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
110	:	1674273536.998	     0.253	0	0	0	0	magma -b cut:=5000 D:=110 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
111	:	1674273537.001	     0.254	0	0	0	0	magma -b cut:=5000 D:=111 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
112	:	1674273537.004	     0.253	0	0	0	0	magma -b cut:=5000 D:=112 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
114	:	1674273537.023	     0.237	0	0	0	0	magma -b cut:=5000 D:=114 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
115	:	1674273537.028	     0.235	0	0	0	0	magma -b cut:=5000 D:=115 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
116	:	1674273537.031	     0.236	0	0	0	0	magma -b cut:=5000 D:=116 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
117	:	1674273537.034	     0.236	0	0	0	0	magma -b cut:=5000 D:=117 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
118	:	1674273537.037	     0.240	0	0	0	0	magma -b cut:=5000 D:=118 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
