Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
100	:	1674359482.624	     0.734	0	27	0	0	magma -b label:=2.2.5.1-236.1-1.1-sl-0 scripts/generate_kposs.m
105	:	1674359482.648	     0.713	0	27	0	0	magma -b label:=2.2.5.1-241.2-1.1-sl-0 scripts/generate_kposs.m
79	:	1674359482.533	     0.831	0	27	0	0	magma -b label:=2.2.5.1-180.1-1.1-sl-0 scripts/generate_kposs.m
103	:	1674359482.636	     0.731	0	27	0	0	magma -b label:=2.2.5.1-239.2-1.1-sl-0 scripts/generate_kposs.m
104	:	1674359482.638	     0.730	0	27	0	0	magma -b label:=2.2.5.1-241.1-1.1-sl-0 scripts/generate_kposs.m
97	:	1674359482.614	     0.756	0	27	0	0	magma -b label:=2.2.5.1-225.1-1.1-sl-0 scripts/generate_kposs.m
96	:	1674359482.608	     0.764	0	27	0	0	magma -b label:=2.2.5.1-220.2-1.1-sl-0 scripts/generate_kposs.m
106	:	1674359482.656	     0.721	0	27	0	0	magma -b label:=2.2.5.1-244.1-1.1-sl-0 scripts/generate_kposs.m
94	:	1674359482.596	     0.788	0	27	0	0	magma -b label:=2.2.5.1-211.2-1.1-sl-0 scripts/generate_kposs.m
77	:	1674359482.529	     0.858	0	27	0	0	magma -b label:=2.2.5.1-179.1-1.1-sl-0 scripts/generate_kposs.m
69	:	1674359482.498	     0.891	0	27	0	0	magma -b label:=2.2.5.1-155.2-1.1-sl-0 scripts/generate_kposs.m
95	:	1674359482.598	     0.793	0	27	0	0	magma -b label:=2.2.5.1-220.1-1.1-sl-0 scripts/generate_kposs.m
101	:	1674359482.626	     0.768	0	27	0	0	magma -b label:=2.2.5.1-236.2-1.1-sl-0 scripts/generate_kposs.m
110	:	1674359482.682	     0.715	0	27	0	0	magma -b label:=2.2.5.1-251.2-1.1-sl-0 scripts/generate_kposs.m
86	:	1674359482.558	     0.848	0	27	0	0	magma -b label:=2.2.5.1-199.2-1.1-sl-0 scripts/generate_kposs.m
72	:	1674359482.508	     0.901	0	27	0	0	magma -b label:=2.2.5.1-169.1-1.1-sl-0 scripts/generate_kposs.m
82	:	1674359482.542	     0.869	0	27	0	0	magma -b label:=2.2.5.1-191.1-1.1-sl-0 scripts/generate_kposs.m
117	:	1674359482.710	     0.703	0	27	0	0	magma -b label:=2.2.5.1-271.2-1.1-sl-0 scripts/generate_kposs.m
93	:	1674359482.593	     0.831	0	27	0	0	magma -b label:=2.2.5.1-211.1-1.1-sl-0 scripts/generate_kposs.m
70	:	1674359482.500	     0.926	0	27	0	0	magma -b label:=2.2.5.1-164.1-1.1-sl-0 scripts/generate_kposs.m
115	:	1674359482.707	     0.740	0	27	0	0	magma -b label:=2.2.5.1-269.2-1.1-sl-0 scripts/generate_kposs.m
73	:	1674359482.511	     0.939	0	27	0	0	magma -b label:=2.2.5.1-171.1-1.1-sl-0 scripts/generate_kposs.m
